,date,tweet,location
0,2020-05-09,Yikes! #COVID19 effect on unemployment figures=ill wind that blows nobody any good. Many unemployed haven't been ad… https://t.co/uzuFOK53i6,"Brooklyn, New York"
1,2020-05-09,One of the most common questions that we are getting is how to answer interview questions about being laid off/furl… https://t.co/3DZ8cREmrY,"New York, NY"
2,2020-05-09,"RT @BvilleDailyNews: Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to ne…","Michigan, USA"
3,2020-05-09,"Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to… https://t.co/4E3uNcExjN","Boonville, Missouri"
4,2020-05-09,"Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to… https://t.co/6RjF2DyP0Y","Mexico, Mo."
5,2020-05-09,Yikes! #COVID19 effect on unemployment figures=ill wind that blows nobody any good. Many unemployed haven't been ad… https://t.co/uzuFOK53i6,"Brooklyn, New York"
6,2020-05-09,One of the most common questions that we are getting is how to answer interview questions about being laid off/furl… https://t.co/3DZ8cREmrY,"New York, NY"
7,2020-05-09,"RT @BvilleDailyNews: Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to ne…","Michigan, USA"
8,2020-05-09,"Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to… https://t.co/4E3uNcExjN","Boonville, Missouri"
9,2020-05-09,"Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to… https://t.co/6RjF2DyP0Y","Mexico, Mo."
10,2020-05-09,"@MollyJongFast We’ll consider her a #COVID19vaccine Control subject. Anecdotal, but still better than no data.","Shenandoah Valley, VA"
11,2020-05-09,RT @aspiesmom: You choose: risk #Coronavirus OR risk #COVID19vaccine,Pinterest #CDCwhistleblower
12,2020-05-09,ICMR teams up with Bharat Biotech to develop indigenous #Covid19vaccine. #IndiaFightsCorona ⁦@narendramodi⁩  https://t.co/I9YtuoPzMF,"New Delhi, India"
13,2020-05-09,@LadyRedWave People refusing the #COVID19vaccine ?? Smart people. https://t.co/JScnfeEMPM,"Bellevue, Washington, USA"
14,2020-05-09,"@eliasamare @eliasamare thats actually a blessed idea, people coming out in their thousands and protesting may brin… https://t.co/Qx8rl0MHni","London, England"
15,2020-05-09,"""#Polio spread fastest in warm months. Each June, beaches &amp; movie theaters, swimming pools &amp; ice cream parlors went… https://t.co/w0q3RLsPaW","Boston, MA"
16,2020-05-09,"How Patent Abuse Could Hurt the Fight Against the Pandemic

Scientific research that is funded by the public should… https://t.co/4x2hLrEBMU",
17,2020-05-09,Israel's IIBR finds antibody that neutralizes coronavirus - The Jerusalem Post #vacunacovid #vaccine… https://t.co/LkmeEpYZUp,México
18,2020-05-09,@naveenthacker #Covid19Vaccine? Always hope 😊,New Delhi
19,2020-05-09,"Yesterday @CarryMinati  has roasted #Tiktokers and today he has got more than 2.4 Crore views.
Few days ago Chandig… https://t.co/XndJ4RxNnn",
20,2020-05-09,President Trump is singularly focused on getting a coronavirus vaccine to all Americans by January — if not before… https://t.co/aVDyEs3bWe,India
21,2020-05-09,"@bsindia Yes, Serum will certainly lead the way for #COVID19vaccine #vaccine

BTW, I heard partnership news before… https://t.co/1C0UbDBm20","Pune, Maharashtra"
22,2020-05-09,"@Indian_Leopard @WarrenBuffett When did you made experience with CpG1018 in cancer vaccines? Which year? 

And yeah… https://t.co/nGcsLDl9cQ",Europe
23,2020-05-09,@ICMRDELHI partners with Bharat Biotech International Ltd. to develop #COVID19vaccine https://t.co/k4Tv4KlFwe,"New Delhi, India"
24,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pretoria, South Africa"
25,2020-05-09,RT @ImWithoutADoubt: @JenniferFShort @iajanus @truth_seeker_85 @QuriousIn @defiance284 @BryceCartwright No Balinese booze holidays for them…,Maitland (NSW)
26,2020-05-09,RT @techstrat_99: A #COVID19vaccine is highly sort after right now.  Needless to say it will be extremely lucrative for the entity that cre…,
27,2020-05-09,@JenniferFShort @iajanus @truth_seeker_85 @QuriousIn @defiance284 @BryceCartwright No Balinese booze holidays for t… https://t.co/KHls0JzhL2,An Uber Away
28,2020-05-09,"“REMDESIVIR SHOWS PROMISE IN ONGOING COVID-19 CLINICAL TRIAL” https://t.co/rtTa8NQ9L4
#remdesivir… https://t.co/KMUoh4KUeH","Berlin, Germany"
29,2020-05-09,"How Spanish Flu of 1918 ended?

#Covid_19
#COVID__19
#CoronavirusOutbreak
#CoronavirusLockdown
#SpanishFlu… https://t.co/4EzlkPUKwO",
30,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Lagos, Nigeria"
31,2020-05-09,RT @techstrat_99: A #COVID19vaccine is highly sort after right now.  Needless to say it will be extremely lucrative for the entity that cre…,
32,2020-05-09,The CEO of the world's largest manufacturer of syringes said “there is no capacity” to quickly ramp up production t… https://t.co/QPDAqlNfPQ,Chennai
33,2020-05-09,RT @techstrat_99: A #COVID19vaccine is highly sort after right now.  Needless to say it will be extremely lucrative for the entity that cre…,Fiji
34,2020-05-09,RT @techstrat_99: A #COVID19vaccine is highly sort after right now.  Needless to say it will be extremely lucrative for the entity that cre…,
35,2020-05-09,RT @techstrat_99: A #COVID19vaccine is highly sort after right now.  Needless to say it will be extremely lucrative for the entity that cre…,"Canberra, Australia"
36,2020-05-09,RT @techstrat_99: A #COVID19vaccine is highly sort after right now.  Needless to say it will be extremely lucrative for the entity that cre…,Canberra (formely Taipei)
37,2020-05-09,I want to be free! Let me out #COVID19vaccine,
38,2020-05-09,#COVID19vaccine @BillGates @WHO @DrAnthonyF @HillaryClinton @CNN @ABC @CBS  @maddow @MSNBC #vaccineskill The COVID💉… https://t.co/suQa5YCQ0S,United States
39,2020-05-09,"RT @mehrotra15j: @MQuigley1963 #sixwordstory #WritingCommunity 

#COVID19vaccine : Cool water bath in morning.",Australia
40,2020-05-09,"@MQuigley1963 #sixwordstory #WritingCommunity 

#COVID19vaccine : Cool water bath in morning.",aurangabad
41,2020-05-09,A #COVID19vaccine is highly sort after right now.  Needless to say it will be extremely lucrative for the entity th… https://t.co/zysaKaNimh,Canberra
42,2020-05-09,"Who is going to win the race for #COVID19vaccine ? 

Putting Covid 19 Vaccine on Public Domain - Sign the Petition!… https://t.co/EMUDd69Nfg",
43,2020-05-09,"Ngipholise cover by ANELISWA https://t.co/SoPzxln3tR via @YouTube 

#extendlockdown 

🛐®️©️ AFRICA 🙏🏽WORLD 🌍… https://t.co/UgAx0igzd7",The Kingdom
44,2020-05-09,RT @gsiwo: COVID-19 https://t.co/dWPu1Rqjji now includes information on 101 vaccine candidates being developed across 21 countries using ab…,United States
45,2020-05-09,@WhiteHouse staff member (Aide of Mike Pence) test positive for #COVIDー19 May Allah protect the Indian Parliament.… https://t.co/kouUviZu0t,"नई दिल्ली, भारत"
46,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",Lewis Run PA
47,2020-05-09,@SecAzar please do the right thing and reinstate Dr Bright to Director of @BARDA we need him their work in on finding the #COVID19vaccine !,
48,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…","Lewis Run, PA"
49,2020-05-09,India still has about one week left before deciding the fate of its nationwide #lockdown. If there are lessons to b… https://t.co/LbIAIV1Ogw,India
50,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Pretoria Cbd
